DATE,USALORSGPNOSTSAM
1993-06-01,99.4149025150018
1993-07-01,99.4020261980444
1993-08-01,99.423719134956
1993-09-01,99.4824652248356
1993-10-01,99.5691140483253
1993-11-01,99.6708284324239
1993-12-01,99.7767825775491
1994-01-01,99.8825638050396
1994-02-01,99.9865588055471
1994-03-01,100.086125501194
1994-04-01,100.173666055722
1994-05-01,100.240773717548
1994-06-01,100.283018812742
1994-07-01,100.305959457867
1994-08-01,100.317422799352
1994-09-01,100.320986747112
1994-10-01,100.310127303618
1994-11-01,100.274224575062
1994-12-01,100.205392717816
1995-01-01,100.106863182826
1995-02-01,99.9877102623236
1995-03-01,99.8595685278204
1995-04-01,99.7347180026298
1995-05-01,99.6236031718336
1995-06-01,99.5320255565614
1995-07-01,99.4572471066555
1995-08-01,99.393671277878
1995-09-01,99.3371066407837
1995-10-01,99.2880375215276
1995-11-01,99.2509211995732
1995-12-01,99.2328030984861
1996-01-01,99.240934934195
1996-02-01,99.2803794766976
1996-03-01,99.3495661732552
1996-04-01,99.433400358056
1996-05-01,99.512552395982
1996-06-01,99.5714680814241
1996-07-01,99.606504518108
1996-08-01,99.6203350210314
1996-09-01,99.6178838133398
1996-10-01,99.603628865492
1996-11-01,99.5829404556448
1996-12-01,99.5641205464362
1997-01-01,99.5607653826408
1997-02-01,99.5861989855934
1997-03-01,99.6467296641353
1997-04-01,99.7327269515156
1997-05-01,99.8275430469004
1997-06-01,99.9144153838227
1997-07-01,99.9825988852479
1997-08-01,100.026184866979
1997-09-01,100.044141342997
1997-10-01,100.041998521322
1997-11-01,100.027654538519
1997-12-01,100.00857970192
1998-01-01,99.9898754434493
1998-02-01,99.9756465518639
1998-03-01,99.9703181767031
1998-04-01,99.9796114231784
1998-05-01,100.009586279141
1998-06-01,100.064641262321
1998-07-01,100.144031079691
1998-08-01,100.243356296733
1998-09-01,100.354276942791
1998-10-01,100.46277633465
1998-11-01,100.554278288465
1998-12-01,100.618941272119
1999-01-01,100.658165515346
1999-02-01,100.679838784669
1999-03-01,100.695444039091
1999-04-01,100.718502182895
1999-05-01,100.761514774574
1999-06-01,100.832488552317
1999-07-01,100.930124647857
1999-08-01,101.047167165139
1999-09-01,101.171884877867
1999-10-01,101.288229633024
1999-11-01,101.382439580995
1999-12-01,101.450329775367
2000-01-01,101.506220826025
2000-02-01,101.568047544614
2000-03-01,101.643458198025
2000-04-01,101.715621161246
2000-05-01,101.758191406148
2000-06-01,101.750600514727
2000-07-01,101.695510943771
2000-08-01,101.60497165404
2000-09-01,101.490120729682
2000-10-01,101.353672474992
2000-11-01,101.194568637851
2000-12-01,101.014306821541
2001-01-01,100.82496892458
2001-02-01,100.640138100579
2001-03-01,100.466755013813
2001-04-01,100.296923691701
2001-05-01,100.118327872028
2001-06-01,99.9243895978703
2001-07-01,99.7250339704327
2001-08-01,99.5379976877755
2001-09-01,99.3807651944309
2001-10-01,99.2618603332374
2001-11-01,99.1837936335282
2001-12-01,99.1432776556606
2002-01-01,99.1285303183924
2002-02-01,99.1249302710186
2002-03-01,99.1188047416238
2002-04-01,99.1004197439289
2002-05-01,99.0630269946905
2002-06-01,99.0027849042742
2002-07-01,98.9200217610256
2002-08-01,98.8179470862879
2002-09-01,98.7029636823249
2002-10-01,98.5863434799621
2002-11-01,98.4814169568046
2002-12-01,98.4009167690197
2003-01-01,98.3535173265841
2003-02-01,98.3462914228247
2003-03-01,98.3847497303188
2003-04-01,98.4699527239585
2003-05-01,98.5997980151391
2003-06-01,98.7668534993027
2003-07-01,98.9528609485946
2003-08-01,99.1360124182139
2003-09-01,99.2968166502508
2003-10-01,99.4241395024559
2003-11-01,99.513046718478
2003-12-01,99.5649554711039
2004-01-01,99.5904552041505
2004-02-01,99.6032871632477
2004-03-01,99.6162177905614
2004-04-01,99.6378571245809
2004-05-01,99.6737167904552
2004-06-01,99.7266651514822
2004-07-01,99.7963848102421
2004-08-01,99.8810254299837
2004-09-01,99.9776806533006
2004-10-01,100.081830710347
